title,job description,questions
Medical Secretary,"<h4>Job brief</h4><p>We are looking for a Medical Secretary to support our medical office. Patients, visitors and medical staff will turn to you for information and help with administrative issues.</p>
<p>Our medical secretary should be efficient and well-spoken with experience running a medical office. If you are patient, computer-savvy and can multitask, we’d like to meet you.</p>
<p>Your goal will be to ensure the smooth workflow of our medical facilities, so that our patients receive the best possible care.</p>
<h4>Responsibilities</h4><ul>
<li>Receive and assist patients as needed</li>
<li>Type medical documents (e.g. physician dictations and patient charts)</li>
<li>Maintain detailed patient and medical records</li>
<li>Manage office communications (e.g. phone, correspondence)</li>
<li>Schedule medical appointments</li>
<li>Work with insurance companies to process claims</li>
<li>Process invoices, bills and payments</li>
<li>Ensure confidentiality of sensitive information</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven experience as a medical secretary or similar administrative position</li>
<li>Knowledge of medical terminology, regulations and medical office procedures; knowledge of medical coding is strongly desired</li>
<li>Experience processing insurance claims</li>
<li>Familiarity with basic bookkeeping</li>
<li>Knowledge of MS Office, databases and EHR systems</li>
<li>Outstanding communication skills</li>
<li>Patience and discretion</li>
<li>Organizational and multitasking skills</li>
<li>High school diploma; additional training in Medical Administration is a plus</li>
</ul>
","['A patient wants your office to perform a medical test but hasn’t scheduled an appointment. If there are no appointments on the calendar for the next hour, would you accept that patient? Why or why not?', 'How would you respond if you didn’t know how to answer a patient’s question?', 'A doctor who is in a hurry asks you to print a patient’s medical record, but the printer isn’t currently working. How would you handle this situation?', 'What information would you ask for if a pharmacist calls to request a medication refill for a patient?', 'What are your duties during a typical day?', 'What’s the first thing you do when you arrive at the office?', 'Do you use any productivity applications or tools (e.g. to manage your calendar?) If so, what are they?', 'What’s your experience with Electronic Health Records (EHR)?', 'Are you familiar with how to record patient’s medical history? What do you ask patients before they see the doctor?', 'How do you disseminate the daily schedule to medical staff?', 'What steps do you take to protect confidential information?', 'What is considered protected information under HIPPA (Health Insurance Portability and Accountability Act)?', 'Why did you choose this field?', 'How do you manage to stay calm under difficult patient situations (e.g. patients with serious chronic health conditions?)', 'Have you ever implemented a new method to organize your files? What was it? If not, what do you do to ensure your filing system is effective?', 'How do you handle patients who have no health insurance and aren’t able to pay for necessary medical services?', 'Tell me about a time you had to serve multiple patients at once. How did you prioritize their needs?', 'How do you treat patients of different ages?']"
Personal Care Assistant,"<h4>Job brief</h4><p>We are looking for a competent personal care assistant to support physically or mentally challenged customers in their everyday lives. The fulfilment and satisfaction that comes with helping others surpasses the challenges of this job.</p>
<p>If you’re a compassionate, positive person who isn’t afraid to work hard, then this is a job for you. We expect you to be polite and a good communicator. Experience in housekeeping tasks and caring for the elderly or sick will make you a strong candidate.</p>
<h4>Responsibilities</h4><ul>
<li>Ensure clients receive their medication on time</li>
<li>Support clients who can’t move on their own</li>
<li>Help clients dress, bathe, eat etc.</li>
<li>Assist clients with physical therapy exercises</li>
<li>Cook meals according to the customer’s restrictions</li>
<li>Help customers with their shopping</li>
<li>Do necessary housekeeping to maintain a clean environment</li>
<li>Provide emotional support</li>
<li>Inform physicians or supervisors about uncommon events</li>
<li>Act quickly and responsibly in cases of emergency</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven experience as personal care assistant</li>
<li>Committed to health &amp; safety</li>
<li>Able to do housework and cooking</li>
<li>Well-organized and reliable</li>
<li>Excellent communication and people skills</li>
<li>Positive and compassionate attitude</li>
<li>Strong ethics</li>
<li>Physical stamina</li>
<li>CPR certified</li>
<li>High school diploma or equivalent</li>
<li>A valid driver’s licence</li>
</ul>
","['What kind of help does an elderly client need?', 'How would you care for a client who suffers from alzheimer’s disease?', 'What would be your approach towards clients with memory problems/depression/etc.?', 'What would be your reaction if you found out a colleague behaved badly towards a client?', 'If a client had a heart attack, what would you do?', 'Why do you think personal care assistants are important?', 'What did you do for your last client?', 'Have you worked with children before?', 'What kind of caregiving tasks do you feel uncomfortable doing?', 'Do you know how to cook according to special health requirements?', 'What does discretion mean for a personal care assistant?', 'Tell me about a time a client expressed their gratitude for your companionship', 'Describe a time you had a client that was very difficult. How did you handle them?', 'Recall a time you were saddened by your client’s condition. What did you do?', 'Tell me about a time you had to provide CPR to a client', 'Give me an example of a conflict you had on the job. How did you resolve it?']"
Caregiver,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a competent </span><b>Caregiver</b><span style=""font-weight: 400;""> to care for our clients in a professional and compassionate manner. It’s an often demanding job as you will have to be available for most of the day and week. But, it can also be very satisfying and rewarding, since people who are ill, injured, disabled or elderly are thankful for high quality assistance.</span></p>
<p><span style=""font-weight: 400;"">The ideal candidate will be patient and friendly with excellent communication skills. You should be able to follow instructions and perform a variety of tasks to help clients.</span></p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Help clients take prescribed medication</span></li>
<li><span style=""font-weight: 400;"">Assist clients with ambulation and mobility around the house or outside (doctor’s appointments, walks etc.)</span></li>
<li><span style=""font-weight: 400;"">Assist clients with personal care and hygiene</span></li>
<li><span style=""font-weight: 400;"">Help clients with physical therapy exercises</span></li>
<li><span style=""font-weight: 400;"">Plan and prepare meals with assistance from the clients (when they are able)</span></li>
<li><span style=""font-weight: 400;"">Do the client’s shopping or accompany them when they shop</span></li>
<li><span style=""font-weight: 400;"">Perform light housekeeping duties that clients can’t complete on their own</span></li>
<li><span style=""font-weight: 400;"">Be a pleasant and supportive companion</span></li>
<li><span style=""font-weight: 400;"">Report any unusual incidents</span></li>
<li><span style=""font-weight: 400;"">Act quickly and responsibly in cases of emergency</span></li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as a </span><b>caregiver</b></li>
<li><span style=""font-weight: 400;"">Excellent knowledge of emergency response and first aid (CPR)</span></li>
<li><span style=""font-weight: 400;"">Knowledge of housekeeping activities and cooking with attention to dietary constraints</span></li>
<li><span style=""font-weight: 400;"">Willingness to adhere to health and safety standards</span></li>
<li><span style=""font-weight: 400;"">Respectful and compassionate</span></li>
<li><span style=""font-weight: 400;"">Good time management skills</span></li>
<li><span style=""font-weight: 400;"">Outstanding communication and interpersonal skills</span></li>
<li>Strong ethics</li>
<li><span style=""font-weight: 400;"">Physical endurance</span></li>
<li><span style=""font-weight: 400;"">High school diploma or equivalent</span></li>
</ul>
","['As part of this job, you’ll have to do [state tasks]. How comfortable are you with that?', 'If you are working with a client with alzheimer’s, what steps would you take to ensure their well-being?', 'Imagine a client with dementia accuses you of something you didn’t do. How do you handle it?', 'Why do you want to be a caregiver?', 'What do you find most rewarding about this job?', 'What were your responsibilities with your latest client?', 'What types of impairments/people have you previously worked with?', 'Do you know how to cook according to special health requirements?', 'Are you able to perform light housekeeping duties (laundry, cleaning etc.)?', 'Can you perform CPR?', 'What personal care/hygiene tasks are needed for an elderly client? Are you comfortable doing them?', 'Are you available for work nights/weekends/etc.?', 'Have you ever had to provide first aid to a client? What happened?', 'Recall a time a client tried your patience. What did you do?', 'Describe a time you offered emotional support to a client. What effect did it have?', 'Tell me about a mistake you made while caring for a client', 'Do you become personally involved when your client suffers?']"
Pediatrician,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a licensed <strong>P</strong></span><b>ediatrician </b><span style=""font-weight: 400;"">to examine and treat little patients and help in preventing diseases and illness complications. The work of a physician can be both difficult and demanding, and even more so when it comes to children. A pediatrician will have to conduct examinations by earning the trust and cooperation of the child.</span></p>
<p><span style=""font-weight: 400;"">The ideal candidate will possess thorough knowledge of children’s diseases and epidemiology as well as the established examination procedures for infants. A pediatrician must be patient and caring and able to foster long term trust relationships with the children and their parents.</span></p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Conduct regular thorough examinations on newborns and young children to check and record their health and normal physical development</span></li>
<li><span style=""font-weight: 400;"">Examine sick children to determine their condition and ask intuitive questions to gather information about symptoms</span></li>
<li><span style=""font-weight: 400;"">Reach an informed diagnosis based on scientific knowledge and individual medical history</span></li>
<li><span style=""font-weight: 400;"">Prescribe medications and give detailed instructions for administration </span></li>
<li><span style=""font-weight: 400;"">Prescribe and interpret appropriate lab tests to gain more information for possible infections or abnormalities</span></li>
<li><span style=""font-weight: 400;"">Prepare and administer vaccines according to the governmental vaccination plan</span></li>
<li><span style=""font-weight: 400;"">Examine and treat injuries and refer the little patients to physicians of other disciplines when necessary (e.g. surgeons, ophthalmologists, orthopedists etc.)</span></li>
<li><span style=""font-weight: 400;"">Advise parents on children’s diet, exercise and disease preventive measures </span></li>
<li><span style=""font-weight: 400;"">Keep updated records of patients’ illnesses, surgeries or other medical episodes (allergic shocks, injuries etc.)</span></li>
<li><span style=""font-weight: 400;"">Keep abreast of advancements in pediatrics and best practices by attending seminars and conferences</span></li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as a <strong>pediatrician</strong></span></li>
<li><span style=""font-weight: 400;"">In depth knowledge of children epidemiology and infectious diseases</span></li>
<li><span style=""font-weight: 400;""> Exquisite knowledge of diagnostic, treatment and rehabilitation principles and techniques</span></li>
<li><span style=""font-weight: 400;"">Up to speed knowledge of drugs/medication appropriate for children and their side-effects</span></li>
<li><span style=""font-weight: 400;"">Familiarity with traditional and web-based prescription systems</span></li>
<li><span style=""font-weight: 400;"">Active listener, patient and calm</span></li>
<li><span style=""font-weight: 400;"">Outstanding diagnostic and problem solving abilities</span></li>
<li><span style=""font-weight: 400;"">Excellent communications skills</span></li>
<li><span style=""font-weight: 400;"">Medical Degree with specialization in pediatrics</span></li>
<li><span style=""font-weight: 400;"">Valid license to practice medicine</span></li>
</ul>
","['If a child complained about a continuous pain on their leg for the past two weeks, what would you suspect?', 'Imagine that a parent calls and tells you their child has high fever and a rush. How do you respond?', 'If two children come into the emergency room at the same time and one is crying while the other is silent, which one do you attend to first?', 'What would you tell a parent who isn’t sure that they should vaccinate their baby?', 'When was the last pediatrics conference you attended? What did you get out of it?', 'Is there a particular pediatrics subject you’re interested in?', 'Do you have experience in mass screening?', 'Can you explain the meaning of triage?', 'What’s the process of examining a newborn?', 'How do you decide when to prescribe an antibiotic? How do you decide which one?', 'What’s your experience with online prescription systems?', 'How many children have you attended to from birth to adulthood?', 'Tell me about a time you had to face an uncooperative child. How did you handle it?', 'Recall a time you had a disagreement with a parent. What did you do?', 'Describe a time you had to determine the symptoms of a child who was only crying without complaining', 'Give me an example of a time you felt fulfilment for your job']"
Cosmetologist,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a licensed cosmetologist to help customers transform their physical appearance to their liking. You will be responsible for listening to the customer’s wishes and desires and provide them with the most suitable services.</span></p>
<p><span style=""font-weight: 400;"">The ideal candidate will have knowledge of improving hair, nails and skin. They will be deft and competent with a broad knowledge of trends and fashion.</span></p>
<p><span style=""font-weight: 400;"">The ideal is to achieve maximum customer satisfaction to drive long-term success for our business.</span></p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Converse with clients to better understand their requirements and make suggestions for improving their appearance</span></li>
<li><span style=""font-weight: 400;"">Cut, style and color hair and do scalp treatments</span></li>
<li><span style=""font-weight: 400;"">Apply make-up creating a variety of different looks according to the requests of the client</span></li>
<li><span style=""font-weight: 400;"">Perform massages, skin beauty treatments, body hair removals and manicure/pedicure</span></li>
<li><span style=""font-weight: 400;"">Apply and sell cosmetics and other beauty products </span></li>
<li><span style=""font-weight: 400;"">Answer the phone and schedule appointments</span></li>
<li><span style=""font-weight: 400;"">Maintain equipment and order material when appropriate</span></li>
<li><span style=""font-weight: 400;"">Comply with health and safety standards</span></li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as a cosmetologist</span></li>
<li><span style=""font-weight: 400;"">Working knowledge of all aspects of cosmetology and best practices</span></li>
<li><span style=""font-weight: 400;"">Up-to-date with fashion and beauty trends</span></li>
<li><span style=""font-weight: 400;"">Great physical stamina</span></li>
<li><span style=""font-weight: 400;"">Excellent communication and people skills</span></li>
<li><span style=""font-weight: 400;"">High school diploma; successful attendance of a cosmetology school is a must</span></li>
</ul>
","['How has your experience/training prepared you for this role?', 'What do you find exciting in this job?', 'What’s your experience in manicure/pedicure?', 'How do you stay up-to-date with fashion and beauty trends?', 'What cosmetic products do you use and why?', 'Do you provide beauty services for special occasions (e.g. weddings)?', 'How much time do you need to do a haircut?', 'How do you decide how to style the hair of a client who’s indecisive?', 'What questions would you ask to find the suitable skincare product for a client?', 'Imagine a client isn’t happy with your services and threatens to complain to management. How do you respond?', 'How do you ensure your workstation is clean?', 'Describe a time you persuaded a client to buy a product you recommended', 'Have you worked in a team before? Did that help or hinder your work?']"
Paramedic,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a trained paramedic to be part of our team of healthcare professionals attending primarily out-of-hospital medical incidents. The job isn’t simple but it is very rewarding.</span></p>
<p><span style=""font-weight: 400;"">As an employee dealing mostly with emergencies you must be committed and focused. To be effective in the job, the ideal candidate must be very competent and knowledgeable as well as self-motivated and compassionate.</span></p>
<p><span style=""font-weight: 400;"">The goal is simply to contribute the best you can to help people in need and save lives.</span></p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Operate ambulance equipment and respond to radio transmissions</span></li>
<li><span style=""font-weight: 400;"">Lead and coordinate the team responding to an emergency</span></li>
<li><span style=""font-weight: 400;"">Evaluate the patient’s condition on the scene and perform preliminary diagnosis</span></li>
<li><span style=""font-weight: 400;"">Attend to injuries or sudden illnesses by applying a variety of pre-hospital simple and advanced treatments (first aid, CPR, administering injections and oxygen etc.) or surgical procedures</span></li>
<li><span style=""font-weight: 400;"">Use tech equipment and tools to stabilize patients or provide immediate treatment</span></li>
<li><span style=""font-weight: 400;"">Monitor patient’s condition en route to the hospital</span></li>
<li><span style=""font-weight: 400;"">Collaborate with interested parties (police, firefighting unit, doctors etc.)</span></li>
<li><span style=""font-weight: 400;"">Write and submit concrete and accurate reports on incidents</span></li>
<li><span style=""font-weight: 400;"">Adhere to established medical protocols and procedures as well as legal guidelines and health and safety standards</span></li>
<li><span style=""font-weight: 400;"">Keep abreast with new treatment and medical procedures through continuous training</span></li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as a paramedic</span></li>
<li><span style=""font-weight: 400;"">Knowledge of medical procedures, terminology and medications</span></li>
<li><span style=""font-weight: 400;"">Ability to stay calm and make the right decisions in adverse conditions</span></li>
<li><span style=""font-weight: 400;"">Adaptable with a great deal of stamina</span></li>
<li><span style=""font-weight: 400;"">Excellent working knowledge of medical equipment and devices</span></li>
<li><span style=""font-weight: 400;"">Integrity and compassion towards human pain</span></li>
<li><span style=""font-weight: 400;"">Valid driver’s license</span></li>
<li><span style=""font-weight: 400;"">Certified CPR Instructor</span></li>
<li><span style=""font-weight: 400;"">High school diploma; Licensed Paramedic is a must</span></li>
</ul>
","['Why did you decide to be a paramedic?', 'Describe the most challenging call you ever received as a paramedic.', 'How would you handle a multi-agency call?', 'What have you recently done to improve or update your skills as a paramedic?', 'What kinds of environments have you worked in as a paramedic?', 'How would you remove a heavy patient from a difficult or dangerous situation?', 'In as much detail as possible, describe the process of administering morphine through an IV. What would you do differently if the patient was a child?', 'In as much detail as possible, describe the process for treating broken bones.', 'What are some ways to treat drug overdose?', 'What are some ways to treat burns?', 'How would you treat a hypothermic patient?', 'How would you handle an epileptic seizure?', 'As a paramedic, what kinds of life support medication do you usually have with you?', 'Have you ever responded to a crime scene as a paramedic? What did you do?', 'Describe a time you had to act professionally, despite your personal feelings.', 'Describe a time you did the right thing, even though it was more difficult for you.', 'This job can be stressful. What do you do to stay calm?']"
Dietary Aide,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a qualified <strong>Dietary Aide</strong> to prepare and serve food to people in our facilities. You will deliver dishes and ensure good sanitary condition in cooking and dining premises.</span></p>
<p><span style=""font-weight: 400;"">A Dietary Aide must be capable to prepare food following instructions while adhering to all safety and health standards. They must be competent and conscientious with a customer-oriented approach.</span></p>
<p>The goal is to provide excellent food services by following instructions and standards.</p>
<h4>Responsibilities</h4><ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Set up tables or other dining areas with attention to cleanliness and order</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Prepare meals under the supervision of a dietary manager or cook</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Deliver dishes and trays at designated times and rooms</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Take down dining areas and collect plates, glasses etc. </span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Discard leftovers and take out garbage</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Clean food stations and wash dishes, cooking vessels and silverware</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Stock ingredients and monitor inventory</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Assist in keeping track of expenses and menu planning</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Help maintain kitchen equipment and appliances</span></li>
</ul>
<h4>Requirements</h4><ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Proven experience as a dietary aide</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Further experience in customer service will be appreciated</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Knowledge of sanitation and safety guidelines</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Skilled in preparing meals according to instructions</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Apt in operating cookware, bakeware and cooking appliances</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Friendly with good communication skills</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Good physical condition and stamina</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">High school diploma or equivalent; certification in food services is a plus</span></li>
</ul>
","['Are you able to prepare basic meals? How would you rate your skills?', 'How does a dietary aide\xa0ensure cleanliness and sanitation?', 'What would you do with leftover food?', 'How do you ensure that residents with dietary restrictions receive\xa0the correct serving?', 'Do you think it’s important to communicate with residents as a dietary aide? Why?', 'What do you think are common safety issues in a kitchen? What would you do to avoid them?', 'Have you ever had to deal with difficult coworkers? How did you handle it?', 'If a client started complaining about the food, what would you do?', 'Imagine you don’t have information about a resident’s dietary requirements and they aren’t able to give you any. What do you do?', 'If two other dietary aides didn’t show up for work and food had to be served as always, how would you handle it?']"
Nutritionist,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a licensed nutritionist to provide our clients with comprehensive advice on matters of well being. As an expert in food and nutrition, people depend on you to guide them towards better eating habits to prevent ill-health.</span></p>
<p><span style=""font-weight: 400;"">A nutritionist is responsible for assessing people’s needs using scientific methods and determining the most suitable nutrition plans. He/She must be qualified and well-versed in relevant matters and skilled in suggesting personalized solutions.</span></p>
<p><span style=""font-weight: 400;"">The goal is to contribute to the maintenance of a client’s healthy constitution thus delivering value to our organization by strengthening our reputations.</span></p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Evaluate the dietary needs of a client by assessing their health and exercise levels, sleep and food habits etc.</span></li>
<li>Clarify information to clients and explain the effects of nutrients on overall health condition</li>
<li><span style=""font-weight: 400;"">Offer counseling and suggest positive alterations in nutrition to address clients’ dietary restrictions</span></li>
<li>Create full and personalized nutrition plans that promote healthy lifestyles</li>
<li><span style=""font-weight: 400;"">Set clear objectives and provide support to clients to help them in their progress</span></li>
<li><span style=""font-weight: 400;"">Conduct scientific research to expand field related knowledge such as the impacts of nutrients, the benefits of diets to body’s functions etc.</span></li>
<li><span style=""font-weight: 400;"">Write and publish articles to educate the public</span></li>
<li><span style=""font-weight: 400;"">Make presentations on a variety of topics such as how nutrition affects performance in sports, schools etc.</span></li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as nutritionist</span></li>
<li><span style=""font-weight: 400;"">Thorough understanding of biochemistry and human physiology</span></li>
<li>Good understanding of research methods and data analysis</li>
<li><span style=""font-weight: 400;"">Excellent communication and interpersonal skills</span></li>
<li><span style=""font-weight: 400;"">Creativity and critical thinking</span></li>
<li><span style=""font-weight: 400;"">Degree in nutritional science, dietetics or relevant field</span></li>
<li><span style=""font-weight: 400;"">Valid license to practice the profession</span></li>
</ul>
","['Which populations are you most interested in advising?', 'Do you prefer advising individuals, or groups?', 'Describe your experience with home care.', 'How often do you work with social workers?', 'How often do you work with physicians?', 'How would you advise a client to keep a food diary?', 'What kind of diet would you prescribe to a patient who was trying to lose weight?', 'What kind of diet would you prescribe for a patient who was trying to gain weight?', 'Describe your experience with pre-natal nutrition.', 'What dietary recommendations are important for geriatric populations?', 'What dietary recommendations are important for vegetarians?', 'What might differentiate the diet of a patient with Type 1 diabetes from the diet of a patient with Type 2 diabetes?', 'How would you put together a diet for a 30-something male recently diagnosed with AIDS?', 'As a nutritionist, who would you consider to be your customers?', 'Being an educator is part of your job. What makes you a good teacher?', 'Recall a time you resolved a problem with an unhappy customer. How did you handle it?']"
Physical Therapist,"<h4>Job brief</h4><p>We are looking for a committed Physical Therapist to act as the patient’s partner throughout the trip of restoring motion and ensuring that the client will function at their personal best. You will maximize the quality of life and movement potential within the spheres of promotion, prevention, diagnosis, treatment or intervention, and rehabilitation.</p>
<h4>Responsibilities</h4><ul>
<li>Identify and meet patients’ goals and needs</li>
<li>Offer cost-effective treatments that help improve clients’ motion and mobility</li>
<li>Reduce the need for medications and provide alternatives to surgery</li>
<li>Develop care plans using a variety of treatment techniques</li>
<li>Create fitness- and wellness-oriented programs tailored to patients’ specific needs</li>
<li>Provide quality, personalized and evidence-based care and proven interventions</li>
<li>Motivate patients during treatment in order to help them function optimally</li>
<li>Promote clients’ healthy lifestyle by improving strength, flexibility, balance, and coordination</li>
<li>Consult and practice with other health professionals</li>
<li>Evaluate effects and monitor and communicate progress</li>
<li>Document patient care services</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven work experience as a Physical Therapist</li>
<li>Intensive education and clinical expertise</li>
<li>Ability to manage patients with different types of personalities</li>
<li>Current knowledge of treatment practices</li>
<li>Drive to continually learn and grow</li>
<li>Professional behaviour</li>
<li>Excellent interpersonal communication skills</li>
<li>Valid licence to practice physical therapy</li>
<li>Graduate degree or greater in physical therapy</li>
</ul>
","['What led you to pursue physical therapy as a career?','What are your special interests in physical therapy, if any?','Describe a typical day at your current/previous job.','Talk about your experience with long-term care.','What are some of the challenges of working with geriatric patients?','How do you handle movement disorders?','What would you do if one of your patients suddenly became agitated and aggressive?','What would you do if one of your patients started refusing to work with you?','How would you handle a patient with (specific post-surgical status)?','How would you handle a patient with a diagnosis that was unfamiliar to you?','Describe a situation where you felt you delivered excellent patient care.','In what ways have you shown sensitivity to potential cultural differences?','What would you do if a colleague lied about treating a patient?','What would you consider an inappropriate interaction with a patient?','Recall a time you worked with a difficult coworker. How would you handle it?','What’s stressful about being a physical therapist? How do you cope?']"
Occupational Therapist,"<h4>Job brief</h4><p dir=""ltr"">We are looking for a committed and patient-focused Occupational Therapist to develop, recover or maintain the daily living and work skills of people with physical, mental or developmental conditions.</p>
<p dir=""ltr"">You will offer effective and client-centered services that will enable people to confidently and independently carry out everyday tasks or activities. The successful candidate will have an holistic perspective and will be able to adapt the environment to fit the person.</p>
<h4>Responsibilities</h4><ul>
<li>Address client’s aspects of performance to support engagement in occupations that affect health, well-being and life quality</li>
<li>Select and adapt the appropriate per case occupational therapy treatment model, method and approach to direct the process of interventions</li>
<li>Apply interventions to maximize safety and performance in activities of daily living (ADL) and instrumental activities of daily living (IADL)</li>
<li>Teach clients new ways of approaching tasks and educate them on how to break down activities into achievable components</li>
<li>Assess client’s home and other environments and advice on alterations consistent with their needs and capabilities</li>
<li>Recommend adaptive equipment and train in its use</li>
<li>Guide and educate family members and caregivers</li>
<li>Observe, note, and report on progress of long and short term treatment goals</li>
<li>Collect data and document processes followed</li>
<li>Regularly follow-up client</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven working experience as Occupational Therapist</li>
<li>Excellent knowledge of principles and practices of occupational therapy</li>
<li>Hands-on experience with computer programs and creative media</li>
<li>Familiarity with ADLs evaluation tools ( e.g. Katz ADL scale, Lawton IADL scale)</li>
<li>Ability to manage patients with different types of personalities</li>
<li>Current knowledge of treatment practices per discipline and drive to continually learn and grow in the profession</li>
<li>Professional behaviour</li>
<li>Excellent interpersonal communication skills</li>
<li>Valid licence to practice occupational therapy</li>
<li>BS degree or greater in occupational therapy</li>
</ul>
","['How would you handle a client who didn’t want to cooperate during a therapy session?', 'Imagine you have to work with a patient who can’t communicate properly with you due to physical condition. How do you overcome this?', 'If a patient has difficulty moving around the house, what equipment would you consider prescribing? What criteria would you use to make a choice?', 'Imagine you have to interview a patient to gather necessary health information. Where would you start? How would you proceed?', 'What are critical skills of an occupational therapist?', 'How do you make a difference in people’s lives?', 'What ADL evaluation tools are you familiar with?', 'How do you keep abreast of new techniques? Is there any recent development you find interesting?', 'Have you ever worked with groups? Tell me about your experience', 'What do you need to consider to develop a treatment plan?', 'Tell me about your most successful occupational therapy. How did you manage to help you client?', 'Recall a time you created excellent rapport with a client’s family. How did you do it?']"
Case Manager,"<h4>Job brief</h4><p dir=""ltr"">We are looking for a Case Manager to enhance the quality of patient management, maximize satisfaction and promote cost effectiveness. The successful candidate will be accountable for the full patient care cycle. Case Manager duties include assessing, planning, implementing, monitoring and evaluating actions required to meet the client’s health and human services needed. A certified Case Manager is a plus.</p>
<h4>Responsibilities</h4><ul>
<li>Coordinate and provide care that is safe, timely, effective, efficient, equitable, and client-centered</li>
<li>Handle case assignments, draft service plans, review case progress and determine case closure</li>
<li>Help clients achieve wellness and autonomy</li>
<li>Facilitate multiple care aspects (case coordination, information sharing, etc)</li>
<li>Help patients make informed decisions by acting as their advocate regarding their clinical status and treatment options</li>
<li>Develop effective working relations and cooperate with medical team throughout the entire case management process</li>
<li>Arrange abeyances with social services, health and governmental agencies</li>
<li>Take the extra mile and interact with patients to keep track of their progress and to ensure satisfaction</li>
<li>Record cases information, complete accurately all necessary forms and produce statistical reports</li>
<li>Promote quality and cost-effective interventions and outcomes</li>
<li>Assess and address motivational and psychosocial issues</li>
<li>Adhere to professional standards as outlined by protocols, rules and regulations</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven working experience in case management, including as a Nurse, Medical, Mental Health Care Manager or a related job</li>
<li>Excellent knowledge of case management principles, <healthcare-administrator-job-description"">healthcare management and reimbursement</li>
<li>Previous experience with psychological aspects of care</li>
<li>Effective communication skills</li>
<li>Excellent organisational and time management skills</li>
<li>Familiarity with professional and technical emerging knowledge</li>
<li>Problem solving skills and ability to multi-task</li>
<li>Compassionate with teamwork skills</li>
<li>Current license, certification or registration</li>
<li>BS degree in related healthcare field</li>
</ul>
","['What training or experience has prepared you to excel in this role?', 'What specific interests or specialties do you have in case management, if any?', 'Walk us through your typical day at work.', 'What information do you need to have to create the patient’s health care plan?', 'How do you manage transitions in a patient’s health care plan?', 'How much negotiation do you have to do on a day-to-day basis?', 'How would you rate yourself on providing necessary information to a patient’s entire care team?', 'Describe a time you worked with members of a patient’s care team to achieve a significantly successful outcome.', 'Described a time you communicated complex medical information to patient in a way that was easy for them to understand.', 'How do you work with your patient to evaluate the care they received while in the hospital?', 'How would you minimize your patient’s time in the hospital?', 'What is your experience with helping families arrange long-term care for patients?', 'Recall a time you had to manage conflicting priorities.', 'In what ways have you demonstrated cultural sensitivity? ', 'What’s stressful about being a case manager?', 'How do you demonstrate leadership in this position?']"
